Name,DBaaS,License,Web-site,Details,Type,DB-engines-Score,size
Oracle,no,Commercial,www.oracle.com/­us/­products/­database,http://db-engines.com/en/system/Oracle,Relational DBMS,1442.1,144211
MySQL,no,Open Source,www.mysql.com,http://db-engines.com/en/system/Oracle,Relational DBMS,1294.26,129427
Microsoft SQL Server,no,Commercial,www.microsoft.com/­sqlserver,http://db-engines.com/en/system/Microsoft+SQL+Server,Relational DBMS,1131.03,113104
MongoDB,no,Open Source,www.mongodb.org,http://db-engines.com/en/system/MongoDB,Document store,277.32,27733
PostgreSQL,no,Open Source,www.postgresql.org,http://db-engines.com/en/system/PostgreSQL,Relational DBMS,273.52,27353
DB2,no,Commercial,ibm.com/­software/­data/­db2,http://db-engines.com/en/system/DB2,Relational DBMS,201.04,20105
Microsoft Access,no,Commercial,office.microsoft.com/­en-us/­access,http://db-engines.com/en/system/Microsoft+Access,Relational DBMS,145.58,14559
Cassandra,no,Open Source,cassandra.apache.org,http://db-engines.com/en/system/Cassandra ,Wide column store,106.55,10656
SQLite,no,Open Source,sqlite.org,http://db-engines.com/en/system/SQLite,Relational DBMS,105.16,10517
Redis,no,Open Source,redis.io,http://db-engines.com/en/system/Redis,Key-value store,94.73,9474
SAP Adaptive Server,no,Commercial,www.sap.com/­pc/­tech/­database/­software/­adaptive-server-enterprise/­index.html,http://db-engines.com/en/system/SAP+Adaptive+Server,Relational DBMS,85.49,8550
Solr,no,Open Source,lucene.apache.org/­solr,http://db-engines.com/en/system/Solr,Search engine,82.93,8294
Teradata,no,Commercial,www.teradata.com,http://db-engines.com/en/system/Teradata,Relational DBMS,70.13,7014
Elasticsearch,no,Open Source,www.elasticsearch.org,http://db-engines.com/en/system/Elasticsearch,Search engine,64.83,6484
HBase,no,Open Source,hbase.apache.org,http://db-engines.com/en/system/HBase,Wide column store,61.7,6171
FileMaker,no,Commercial,www.filemaker.com,http://db-engines.com/en/system/Teradata,Relational DBMS,52.9,5291
Hive,no,Open Source,hive.apache.org,http://db-engines.com/en/system/Hive,Relational DBMS,44.56,4457
Splunk,no,Commercial,www.splunk.com,http://db-engines.com/en/system/Splunk,Search engine,40.72,4073
Informix,no,Commercial,www.ibm.com/­software/­data/­informix,http://db-engines.com/en/system/Informix,Relational DBMS,36.74,3675
Memcached,no,Open Source,www.memcached.org,http://db-engines.com/en/system/Memcached,Key-value store,33.11,3312
SAP HANA,no,Commercial,www.saphana.com,http://db-engines.com/en/system/SAP+HANA,Relational DBMS,32.78,3279
Neo4j,no,Open Source,neo4j.org,http://db-engines.com/en/system/Neo4j,Graph DBMS,28.64,2865
CouchDB,no,Open Source,couchdb.apache.org,http://db-engines.com/en/system/CouchDB,Document store,27.16,2717
Couchbase,no,Open Source,www.couchbase.com,http://db-engines.com/en/system/Couchbase,Document store,25.24,2525
MariaDB,no,Open Source,mariadb.org,http://db-engines.com/en/system/MariaDB,Relational DBMS,23.6,2361
Firebird,no,Open Source,www.firebirdsql.org,http://db-engines.com/en/system/Firebird,Relational DBMS,21.82,2183
Netezza,no,Commercial,www.netezza.com,http://db-engines.com/en/system/Netezza,Relational DBMS,18.12,1813
Microsoft Azure SQL Database,yes,Commercial,azure.microsoft.com/­en-us/­services/­sql-database,http://db-engines.com/en/system/Microsoft+Azure+SQL+Database,Relational DBMS,15.73,1574
Vertica,no,Commercial,www.vertica.com,http://db-engines.com/en/system/Vertica,Relational DBMS,15.01,1502
Amazon DynamoDB,yes,Commercial,aws.amazon.com/­dynamodb,http://db-engines.com/en/system/DynamoDB,Multi-model ,14.87,1488
Amazon DynamoDB,yes,Commercial,aws.amazon.com/­dynamodb,http://db-engines.com/en/system/DynamoDB,Document store,14.87,1488
Amazon DynamoDB,yes,Commercial,aws.amazon.com/­dynamodb,http://db-engines.com/en/system/DynamoDB,Key-value store,14.87,1488
Riak,,Open Source,basho.com/­products/­riak-overview,http://db-engines.com/en/system/Riak,Key-value store,12.89,1290
dBASE,no,Commercial,www.dbase.com,http://db-engines.com/en/system/dBASE,Relational DBMS,10.43,1044
Ingres,no,Commercial,www.actian.com/­products/­operational-databases/­ingres,http://db-engines.com/en/system/Ingres,Relational DBMS,10.24,1025
MarkLogic,no,Commercial,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,Multi-model ,9.9,991
MarkLogic,no,Commercial,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,Document store,9.9,991
MarkLogic,no,Commercial,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,Native XML DBMS,9.9,991
MarkLogic,no,Commercial,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,RDF store,9.9,991
MarkLogic,no,Commercial,www.marklogic.com,http://db-engines.com/en/system/MarkLogic,Search engine,9.9,991
Sphinx,no,Open Source,sphinxsearch.com,http://db-engines.com/en/system/Sphinx,Search engine,9.8,981
Greenplum,no,Commercial,www.gopivotal.com/­big-data/­pivotal-greenplum-database,http://db-engines.com/en/system/Greenplum,Relational DBMS,8.58,859
Endeca,no,Commercial,www.oracle.com/­us/­products/­applications/­commerce/­endeca/­overview/­index.html,http://db-engines.com/en/system/Endeca,Search engine,8.53,854
Ehcache,no,Open Source,,http://db-engines.com/en/system/Ehcache,Key-value store,7.92,793
RavenDB,no,Open Source,ravendb.net,http://db-engines.com/en/system/Sybase+IQ,Document store,6.46,647
Hazelcast,no,Open Source,,http://db-engines.com/en/system/Hazelcast,Key-value store,5.82,583
SAP SQL Anywhere,no,Commercial,www.sap.com/­pc/­tech/­database/­software/­sybase-sql-anywhere,http://db-engines.com/en/system/SAP+SQL+Anywhere,Relational DBMS,5.39,540
Amazon Redshift,yes,Commercial,aws.amazon.com/­redshift,http://db-engines.com/en/system/Amazon+Redshift,Relational DBMS,5.37,538
Interbase,no,Commercial,,http://db-engines.com/en/system/Interbase,Relational DBMS,5.3,531
SAP IQ,no,Commercial,www.sap.com/­pc/­tech/­database/­software/­sybase-iq-big-data-management,http://db-engines.com/en/system/SAP+IQ,Relational DBMS,5.22,523
Adabas,no,Commercial,http://www.softwareag.com/de/products/adabas_2010/default.asp,http://db-engines.com/en/system/Adabas,Multivalue DBMS,4.67,468
HyperSQL,no,Open Source,,http://db-engines.com/en/system/HyperSQL,Relational DBMS,4.6,461
Impala,no,Open Source,http://www.cloudera.com/content/cloudera/en/products-and-services/cdh/impala.html,http://db-engines.com/en/system/Impala,Relational DBMS,4.6,461
mSQL,no,Commercial,http://www.hughes.com.au/products/msql/,http://db-engines.com/en/system/mSQL,Relational DBMS,4.43,444
Jackrabbit,no,Open Source,http://jackrabbit.apache.org/,http://db-engines.com/en/system/Jackrabbit,Content store,4.07,408
Derby,no,Open Source,http://db.apache.org/derby/,http://db-engines.com/en/system/Derby,Relational DBMS,4.04,405
OrientDB,no,Open Source,http://www.orientdb.org/,http://db-engines.com/en/system/OrientDB,Multi-model ,3.99,400
OrientDB,no,Open Source,http://www.orientdb.org/,http://db-engines.com/en/system/OrientDB,Document store,3.99,400
OrientDB,no,Open Source,http://www.orientdb.org/,http://db-engines.com/en/system/OrientDB,Graph DBMS,3.99,400
H2,no,Open Source,http://www.h2database.com/,http://db-engines.com/en/system/H2,Relational DBMS,3.93,394
GemFire,no,Commercial,http://www.vmware.com/products/application-platform/vfabric-gemfire/overview.html,http://db-engines.com/en/system/GemFire,Document store,3.91,392
Google BigQuery,yes,Commercial,http://developers.google.com/bigquery/,http://db-engines.com/en/system/Google+BigQuery,Relational DBMS,3.89,390
Cloudant,yes,Commercial,http://db-engines.com/en/system/Cloudant,http://db-engines.com/en/system/Cloudant,Document store,3.83,384
